Year,Country,Funding Category,Foreign Assistance (USD),ODA (USD)
2022,Bangladesh,Biosphere and Biodiversity,14802,14802.0
2022,Uganda,Social Services,8591571,
2022,Uganda,Water and Sanitation,903740,
2022,Uganda,Energy Generation and Supply,315818,315818.0
2022,Uganda,Education,257237,
2022,Uganda,Commodity Aid,101114,
2022,Uganda,Health,46672,
2022,Uganda,Biosphere and Biodiversity,18993,18993.0
2022,Burkina Faso,Social Services,7672294,
2022,Burkina Faso,Water and Sanitation,1437714,
2022,Burkina Faso,Education,291270,
2022,Burkina Faso,Health,123299,
2022,Burkina Faso,Commodity Aid,58632,
2022,Burkina Faso,Biosphere and Biodiversity,16502,16502.0
2022,Mali,Social Services,7514683,2001.0
2022,Mali,Water and Sanitation,754638,
2022,Mali,Education,290329,1830.0
2022,Mali,Commodity Aid,172425,5001.0
2022,Mali,Health,86345,
2022,Benin,Social Services,6118707,
2022,Benin,Water and Sanitation,1564868,2723.0
2022,Benin,Education,418243,54451.0
2022,Benin,Health,156193,
2022,Benin,Commodity Aid,111422,
2022,Benin,Biosphere and Biodiversity,58798,58798.0
2022,Benin,Agriculture,1062,
2022,Togo,Transport and Storage,2779744,2779744.0
2022,Togo,Commodity Aid,47996,
2022,Togo,Social Services,32364,
2022,Togo,Education,18106,
2022,Togo,Commodity Aid,10003,10003.0
2022,Togo,Biosphere and Biodiversity,9001,9001.0
2022,Gambia,Education,837678,
2022,Gambia,Social Services,751899,
2022,Gambia,Commodity Aid,427058,367680.0
2022,Gambia,Water and Sanitation,297199,
2022,Gambia,Energy Generation and Supply,192853,
2022,Gambia,Health,91271,
2022,Gambia,Agriculture,2110,
2022,Madagascar,Transport and Storage,1440240,1440240.0
2022,Madagascar,Social Services,108903,
2022,Nepal,Social Services,541065,
2022,Nepal,Water and Sanitation,534655,
2022,Nepal,Education,89638,46131.0
2022,Nepal,Commodity Aid,61320,
2022,Nepal,Health,43197,
2022,Nepal,Biosphere and Biodiversity,31954,31954.0
2022,Cambodia,Education,533627,263792.0
2022,Cambodia,Social Services,398997,
2022,Cambodia,Water and Sanitation,302779,
2022,Cambodia,Commodity Aid,42200,27226.0
2022,Cambodia,Health,12154,
2022,Cambodia,General Programme Assistance,5608,
2022,Eritrea,Energy Generation and Supply,910000,910000.0
2022,Haiti,Energy Generation and Supply,750012,750012.0
2022,Haiti,Biosphere and Biodiversity,10001,10001.0
2022,Sierra Leone,Social Services,433891,
2022,Sierra Leone,Water and Sanitation,275123,
2022,Sierra Leone,Health,28291,
2022,Sierra Leone,Education,2996,
2022,Sierra Leone,Population Policy and Reproductive Health,1610,
2022,Sierra Leone,Commodity Aid,460,
2022,Congo,Commodity Aid,473996,
2022,Congo,Social Services,32364,
2022,Mozambique,Commodity Aid,363270,363270.0
2022,Mozambique,Social Services,39185,
2022,Zambia,Biosphere and Biodiversity,32004,32004.0
2022,Bhutan,Biosphere and Biodiversity,11402,11402.0
2022,Angola,Biosphere and Biodiversity,5001,5001.0
2022,Uzbekistan,Government and Civil Society,14533267,14533267.0
2022,Uzbekistan,Health,4750446,4750446.0
2022,Uzbekistan,Construction and Civil Development,3650967,3650967.0
2022,Uzbekistan,Commodity Aid,1760213,1662478.0
2022,Uzbekistan,Agriculture,1317724,1317724.0
2022,Uzbekistan,Social Services,10003,
2022,Niger,Education,995001,165883.0
2022,Niger,Health,239786,
2022,Niger,Construction and Civil Development,121003,
2022,Kyrgyzstan,Social Services,11379418,81677.0
2022,Kyrgyzstan,Water and Sanitation,3820312,2723.0
2022,Kyrgyzstan,Transport and Storage,1625374,1625374.0
2022,Kyrgyzstan,Government and Civil Society,932376,932376.0
2022,Kyrgyzstan,Education,658421,408386.0
2022,Kyrgyzstan,Health,508255,456862.0
2022,Kyrgyzstan,General Programme Assistance,211271,
2022,Kyrgyzstan,Commodity Aid,73371,13613.0
2022,Azerbaijan,Energy Generation and Supply,15300337,15300337.0
2022,Azerbaijan,Government and Civil Society,283936,283936.0
2022,Azerbaijan,Commodity Aid,54451,
2022,Azerbaijan,Social Services,13504,
2022,Tajikistan,Water and Sanitation,5819697,
2022,Tajikistan,Social Services,3905406,272257.0
2022,Tajikistan,Education,1701970,278579.0
2022,Tajikistan,Health,1490080,433825.0
2022,Tajikistan,Commodity Aid,314032,200925.0
2022,Tajikistan,Industry,44378,44378.0
2022,Mali,Social Services,7514583,2001.0
2022,Mali,Health,66345,
2022,Chad,Social Services,1839223,
2022,Chad,Commodity Aid,823907,823907.0
2022,Chad,Water and Sanitation,219133,
2022,Chad,Health,41356,
2022,North Macedonia,Education,140958,
2022,Armenia,Social Services,104405,
2022,Latvia,Social Services,74457,
2022,Kazakhstan,Social Services,3145512,84678.0
2022,Kazakhstan,Education,495825,445729.0
2022,Kazakhstan,Commodity Aid,415210,332958.0
2022,Kazakhstan,Health,190005,190005.0
2022,Malawi,Social Services,1590774,
2022,Malawi,Water and Sanitation,1114248,
2022,Malawi,Commodity Aid,593432,357978.0
2022,Malawi,Education,255414,7876.0
2022,Malawi,Health,4956,
2022,Rwanda,Transport and Storage,2172611,2172611.0
2022,Rwanda,Education,628277,
2022,Rwanda,Social Services,50427,5001.0
2022,Rwanda,Commodity Aid,10003,10003.0
2022,Rwanda,Biosphere and Biodiversity,9001,9001.0
2022,Zimbabwe,Commodity Aid,600681,600681.0
2022,Zimbabwe,Social Services,18170,5001.0
2022,Paraguay,Education,604226,339877.0
2022,"Moldova, Republic of",Commodity Aid,544501,490049.0
2022,Burundi,Education,486594,
2022,Burundi,Social Services,18108,
2022,Turkmenistan,Commodity Aid,162478,162478.0
2022,"Bolivia, Plurinational State of",Biosphere and Biodiversity,25343,25343.0
2022,Botswana,Biosphere and Biodiversity,5001,5001.0
2022,Maldives,Construction and Civil Development,37490450,37490450.0
2022,Maldives,Transport and Storage,4271748,4271748.0
2022,Maldives,Energy Generation and Supply,2700000,2700000.0
2022,Maldives,Government and Civil Society,277355,277355.0
2022,Maldives,Social Services,16335,
2022,Seychelles,Health,3364174,
2022,Seychelles,Energy Generation and Supply,549959,
2022,Seychelles,Government and Civil Society,340098,340098.0
2022,Seychelles,Social Services,21781,
2022,Seychelles,Commodity Aid,6452,
2022,Comoros,Health,1938550,1938550.0
2022,Comoros,Social Services,981830,2001.0
2022,Comoros,Commodity Aid,72727,5001.0
2022,Comoros,Energy Generation and Supply,60000,60000.0
2022,Comoros,Education,56246,53339.0
2022,Comoros,Water and Sanitation,37907,
2022,Comoros,General Programme Assistance,18051,18051.0
2022,Comoros,Population Policy and Reproductive Health,2169,
2022,Guyana,Energy Generation and Supply,750011,750011.0
2022,Guyana,Government and Civil Society,308997,308997.0
2022,Jamaica,Energy Generation and Supply,748707,748707.0
2022,Jamaica,Biosphere and Biodiversity,7245,7245.0
2022,Saint Kitts and Nevis,Energy Generation and Supply,750013,
2022,Antigua and Barbuda,Energy Generation and Supply,327226,
2022,Mauritius,Social Services,81458,
2022,Mauritius,Commodity Aid,56849,
2022,Mauritius,Education,52987,
2022,Mauritius,Water and Sanitation,13876,
2022,Mauritius,Health,7242,
2022,Mauritius,Biosphere and Biodiversity,4956,4956.0
2022,Mauritius,Agriculture,2667,
2022,Cuba,Social Services,30008,
2022,Cuba,Biosphere and Biodiversity,28644,28644.0
2022,Cabo Verde,Social Services,19058,
2022,Vanuatu,Biosphere and Biodiversity,16502,16502.0
2022,Suriname,Biosphere and Biodiversity,14452,14452.0
2022,Fiji,Commodity Aid,5001,5001.0
2022,Fiji,Social Services,4001,2001.0
2022,Belize,Education,2001,2001.0
2022,Belize,Biosphere and Biodiversity,7041,7041.0
